"commentAuthor","month","nocomm"
"dev115","2011-11",9
"dev115","2010-12",13
"dev112","2011-09",2
"dev115","2011-09",4
"dev115","2011-07",4
"dev115","2011-01",12
"dev112","2006-12",203
"dev115","2010-09",23
"dev115","2010-07",37
"dev115","2010-06",45
"dev115","2010-05",61
"dev115","2009-12",82
"dev112","2007-06",50
"dev112","2007-04",122
"dev112","2007-07",89
"dev112","2006-09",263
"dev112","2007-01",150
"dev112","2007-02",80
"dev112","2006-06",111
"dev112","2006-11",282
"dev115","2010-03",62
"dev115","2009-11",74
"dev115","2010-02",78
"dev115","2010-01",64
"dev112","2009-06",9
"dev115","2008-06",5
"dev112","2005-11",55
"dev112","2004-05",118
"dev112","2004-09",51
"dev112","2008-04",10
"dev112","2007-11",28
"dev115","2007-10",5
"dev115","2007-11",1
"dev112","2007-03",110
"dev112","2006-02",81
"dev112","2006-04",98
"dev112","2006-01",55
"dev112","2006-07",51
"dev112","2005-07",49
"dev112","2005-12",126
"dev112","2004-07",54
"dev112","2003-07",18
"dev112","2003-09",44
"dev112","2011-08",1
"dev115","2011-08",1
"dev115","2010-08",16
"dev112","2007-05",60
"dev112","2006-08",139
"dev112","2006-05",100
"dev112","2005-03",45
"dev112","2004-06",96
"dev115","2007-01",3
"dev115","2009-10",65
"dev112","2006-10",81
"dev112","2006-03",60
"dev112","2004-03",32
"dev112","2005-04",31
"dev112","2005-05",211
"dev112","2005-06",46
"dev112","2005-02",51
"dev112","2005-10",57
"dev115","2005-12",13
"dev115","2006-01",1
"dev115","2010-04",37
"dev112","2008-06",8
"dev112","2008-07",4
"dev115","2008-08",1
"dev112","2007-10",3
"dev112","2007-12",12
"dev115","2012-06",2
"dev115","2012-03",1
"dev115","2012-02",2
"dev115","2011-10",3
"dev115","2007-02",1
"dev112","2011-06",1
"dev115","2011-05",7
"dev115","2011-04",6
"dev115","2010-10",2
"dev115","2009-09",52
"dev115","2009-06",5
"dev112","2010-08",3
"dev112","2008-01",11
"dev112","2009-05",33
"dev112","2010-05",2
"dev112","2010-04",3
"dev112","2009-03",11
"dev112","2009-04",8
"dev115","2008-09",5
"dev115","2008-04",2
"dev112","2008-03",2
"dev112","2008-02",2
"dev112","2005-01",53
"dev112","2004-04",17
"dev112","2008-08",2
"dev115","2009-08",2
"dev115","2009-05",9
"dev112","2009-02",2
"dev115","2009-01",2
"dev115","2009-02",1
"dev112","2008-10",1
"dev115","2008-10",3
"dev115","2007-05",1
"dev115","2008-02",2
"dev115","2005-10",9
"dev115","2005-11",1
"dev115","2007-03",1
"dev112","2007-08",4
"dev115","2004-02",5
"dev115","2004-03",1
"dev115","2004-05",10
"dev112","2004-01",100
"dev112","2005-08",26
"dev112","2003-05",36
"dev112","2004-11",21
"dev112","2004-12",30
"dev115","2004-12",1
"dev115","2005-09",5
"dev115","2004-01",3
"dev115","2006-06",3
"dev115","2006-08",3
"dev112","2005-09",17
"dev112","2004-08",56
"dev112","2004-10",19
"dev86","2006-07",2
"dev115","2006-09",2
"dev115","2006-10",1
"dev115","2005-03",2
"dev115","2004-07",2
"dev112","2003-12",62
"dev112","2003-11",56
"dev112","2004-02",7
"dev112","2003-10",18
"dev115","2004-10",7
"dev115","2005-06",1
"dev115","2005-04",2
"dev115","2005-01",1
"dev115","2005-02",1
"dev116","2004-05",2
"dev115","2004-11",1
"dev115","2004-08",1
"dev115","2004-06",1
"dev115","2003-11",5
"dev112","2003-08",12
"dev86","2003-07",2
"dev112","2003-01",2
"dev86","2003-09",2
"dev112","2002-07",2
"dev112","2003-06",6
"dev115","2002-11",1
"dev112","2002-09",1
"dev112","2002-10",1
"dev112","2003-02",1
"dev112","2002-06",1
"dev112","2011-03",1
"dev115","2005-07",1
"dev115","2006-04",1
"dev115","2005-05",1
"dev112","2010-06",1
"dev116","2009-09",1
"dev116","2008-07",2
"dev116","2006-11",1
